Algorithm,Location,Hub,OrderTime,WaitMinutes,TravelMinutes,TotalMinutes,VehicleID
ABC,Rose Garden - Point 99,B,00:09,0.0,3.4956551166666667,6.9913102333333335,B-1
ABC,Rock Garden - Point 90,A,00:11,0.0,8.27394585,16.5478917,A-1
ABC,Sector 22 Market - Point 23,A,00:37,-9.452108299999999,3.69465125,7.3893025,A-1
ABC,Sector 22 Market - Point 82,A,00:56,-11.610697499999999,3.0856017833333333,6.171203566666667,A-1
ABC,Rose Garden - Point 45,B,01:17,-61.00868976666666,2.8769834833333334,5.753966966666667,B-1
ABC,Sector 35 Market - Point 39,D,01:22,0.0,4.985733183333334,9.971466366666668,D-1
ABC,Ambedkar Awas Yojna Sector 56 Chandigarh,C,01:25,0.0,3.7056533333333332,7.4113066666666665,C-1
ABC,Location_4,D,01:30,1.9714663666666667,4.207485950000001,10.386438266666666,D-1
ABC,Location_2,B,01:34,-11.246033033333333,4.7509816,9.5019632,B-1
ABC,Sector 22 Market - Point 38,B,01:38,5.5019632000000005,3.258914083333333,12.019791366666668,B-1
ABC,Sector 35 Market - Point 65,D,01:39,1.3864382666666666,5.294725033333333,11.975888333333334,D-1
ABC,Sector 17 Plaza - Point 63,B,01:53,-2.9802086333333335,2.9457366333333335,5.891473266666667,B-1
ABC,Sector 40B Chandigarh 160036,C,02:07,-34.58869333333334,4.0679973,8.1359946,C-1
ABC,Sukhna Lake - Point 43,A,02:09,-66.82879643333334,5.632707300000001,11.265414600000001,A-1
ABC,Sector 17 Plaza - Point 89,B,02:28,-29.108526733333335,3.0853163833333332,6.1706327666666665,B-1
ABC,Punjab University - Point 85,B,02:28,6.1706327666666665,3.4571149,13.084862566666667,B-1
ABC,Punjab University - Point 83,B,02:36,5.084862566666667,4.0917123166666665,13.2682872,B-1
ABC,Sector 22 Market - Point 2,B,03:01,-11.7317128,3.5195007,7.0390014,B-1
ABC,Sector 7 Market - Point 41,A,03:17,-56.7345854,3.893399516666667,7.786799033333334,A-1
ABC,Location_3,B,03:45,-36.9609986,4.7836068,9.5672136,B-1
ABC,Sector 7 Market - Point 72,A,03:46,-21.213200966666665,4.314890716666667,8.629781433333333,A-1
ABC,Sector 35 Market - Point 25,B,03:46,8.5672136,5.184306633333334,18.935826866666666,B-1
ABC,Sector 26 Food Court - Point 81,A,03:46,8.629781433333333,4.8178011666666665,18.265383766666666,A-1
ABC,Punjab University - Point 10,B,03:51,13.935826866666668,3.6468215,21.229469866666665,B-1
ABC,Sector 22 Market - Point 57,B,04:51,-38.77053013333333,3.1756842333333335,6.351368466666667,B-1
ABC,Sector 26 Food Court - Point 77,A,04:55,-50.734616233333334,4.797592983333333,9.595185966666666,A-1
ABC,Sector 17 Plaza - Point 8,B,05:19,-21.648631533333333,2.5602156333333337,5.120431266666667,B-1
ABC,Rock Garden - Point 53,A,05:36,-31.40481403333333,6.384940583333333,12.769881166666666,A-1
ABC,Rock Garden - Point 76,A,05:42,6.769881166666667,6.581592133333333,19.933065433333336,A-1
ABC,Sector 17 Plaza - Point 88,B,05:44,-19.879568733333333,3.208811083333333,6.417622166666666,B-1
ABC,Rock Garden - Point 36,A,05:55,6.933065433333334,7.700460183333333,22.3339858,A-1
ABC,Sector 17 Plaza - Point 12,B,06:08,-17.582377833333332,3.5195007,7.0390014,B-1
ABC,Rock Garden - Point 86,B,06:13,2.0390014,7.1544189,16.3478392,B-1
ABC,Rose Garden - Point 80,B,06:17,12.347839200000001,3.7094891666666663,19.766817533333334,B-1
ABC,Punjab University - Point 28,B,06:37,-0.23318246666666667,2.5641454666666665,5.128290933333333,B-1
ABC,Sector 26 Food Court - Point 3,A,06:56,-38.6660142,4.113917316666667,8.227834633333334,A-1
ABC,Sukhna Lake - Point 14,A,07:32,-27.772165366666666,8.501588433333334,17.003176866666667,A-1
ABC,Sukhna Lake - Point 95,A,07:34,15.003176866666667,6.627457683333334,28.258092233333333,A-1
