Location,Latitude,Longitude,NearestHub,Distance(meters),Route(nodes)
Elante Mall - Point 1,30.704418817895,76.799736963917,D,5593.6039902049115,"[1428104566, 1425481090, 1428104568, 3896472388, 3896472383, 3896472381, 10058001297, 6324516528, 6324516535, 6324797297, 11400843967, 1428119365, 1428119373, 1428119381, 1428119379, 1428119535, 1428119552, 1428119566, 1428119564, 10003353131, 1428213703, 1428213725, 10003353134, 1428254819, 1428213811, 1428213816, 1428213830, 1428213824, 1428213814, 1428213812, 1429141354, 1428213632, 11868091095, 1429260187, 1428213590, 1428213586, 1428213549, 1428213532, 1429260140, 1428213471, 1429336683, 1429336720, 1429336727, 1429336749, 1429336692, 1429336710, 1429336740]"
Sector 22 Market - Point 2,30.7421063377552,76.7856015573775,B,2346.333799648446,"[1428425984, 1428425968, 1428425952, 1428425901, 1428425898, 1428425891, 1428425872, 1428425869, 1431041313, 1431041329, 1431041307, 1431041027, 1431040948, 1431040913, 9874345721, 1431041373, 1431041344, 1431039905, 1431040061, 11095269800]"
Sector 26 Food Court - Point 3,30.7336950263298,76.8099000750624,A,2742.6115485042583,"[1429417889, 1429417907, 1429417892, 1429417914, 1429417897, 1429417883, 1429417879, 1429417887, 1429417888, 1429417896, 1429417899, 1429417933, 1429417951, 1429417962, 1429417973, 1429417979, 1429417996, 1429418011, 1429418031, 1429418035, 1429418041, 1429418027, 1429418013, 1429417995, 11847130094, 10244425966, 11847130096, 1429418182, 1429381137, 1429381150, 1429381179, 1429381171, 1429418258, 4830855506, 1429434259, 1429434260, 1429381260, 1429434402, 1429434409, 1429434430, 1429434464, 1429434422]"
Elante Mall - Point 4,30.7042138788363,76.8015838897603,D,5978.793935756212,"[1428104566, 1425481090, 1428104568, 3896472388, 3896472383, 3896472381, 10058001297, 6324516528, 6324516535, 6324797297, 11400843967, 1428119365, 1428119373, 1428119381, 1428119379, 1428119535, 1428119552, 1428119566, 1428119564, 10003353131, 1428213703, 1428213725, 10003353134, 1428254819, 1428213811, 1428213816, 1428213830, 1428213824, 1428213814, 1428213812, 1429141354, 1428213632, 11868091095, 1429260187, 1429260165, 1429260167, 1429141339, 1429141343, 1429141345, 1429141348, 1429336943, 1429336946, 1429336931, 1429336893, 5513120081, 1429336988, 5513120092, 1429336852, 1429336823, 1429336808]"
Sukhna Lake - Point 5,30.7420267288751,76.8211245193747,A,5667.725619036306,"[1429417889, 1429417907, 1429417931, 1429417950, 1429417964, 1429417992, 1429418129, 1429418135, 1429418157, 1429418188, 1429418203, 1429418223, 1429418248, 11722166003, 11722166000, 1429418618, 1429418623, 11245169224, 1429418986, 1429419007, 1429419032, 1429419062, 1429419050, 1429419069, 4833880542, 1430553029, 1429434800, 1429434811, 1430553121, 1429434927, 1429419107, 1429419171, 1429419216, 1430553482, 1430553495, 1430553552, 1430553621, 1430553670, 1691768502, 1430553776, 1430553778, 9631949081, 9631949093, 9631949105]"
Punjab University - Point 6,30.7563216315655,76.7695262653187,B,1506.2966079901898,"[1428425984, 1431135604, 1431135606, 11843725409, 11843725405, 1431218833, 1431218888, 5524165793, 1431219137, 1431219259, 1508734532, 1431219760, 1431219776]"
Sector 22 Market - Point 7,30.7334281373279,76.7788745809552,A,3591.77545957228,"[1429417889, 1429417907, 1429417931, 1429262258, 1429141632, 1429141626, 1429141599, 1429141579, 1429141563, 1429141566, 1429141585, 1429141607, 1429262257, 10230398020, 1429141806, 1429141670, 1429141666, 1429141671, 1429141688, 4833880549, 1429141724, 1429141745, 1429141990, 1429142010, 11902702278, 1429142090, 1429142094, 1429142095, 10703253720, 1429078393]"
Sector 17 Plaza - Point 8,30.7370194762002,76.7794380097661,B,1706.8104249827443,"[1428425984, 1428425968, 1428425952, 1428425901, 1428425898, 1428425891, 1428425872, 1428425869, 1428425854, 1428425843, 11865425560, 1431039742, 1431039681, 1431039652, 1431039187, 1431039369, 1431039131]"
Sector 7 Market - Point 9,30.7379549753576,76.8016691827756,B,4453.042627424721,"[1428425984, 1428425968, 1428425952, 1428425901, 1428425898, 1428425891, 1428425872, 1428425869, 1431041313, 1431041329, 1431041307, 1431041027, 1431040948, 1431040913, 9874345721, 1431041373, 1431063461, 1431041637, 10069816469, 10069816468, 10069816463, 10069816462, 10069816461, 10069816460, 1431039862, 4833880519, 4833880520, 1430553200, 1430553261, 1430553265, 1430553248, 1430553190, 1430553163, 1430553154, 1430553050, 9184721694, 1430553020, 1430552995, 1430552975, 4833820106, 1429419069, 4833880542, 1430553029, 1429434800, 1429434811, 1429434797, 11704433746, 1429434767, 1429434795, 1429434814, 1429434862]"
Punjab University - Point 10,30.7599499785483,76.7704678381086,A,5445.622840066512,"[1429417889, 1429417907, 1429417931, 1429417950, 1429417964, 1429417992, 1429418129, 1429418135, 1429418157, 1429418188, 1429418203, 1429418223, 1429418248, 11722166003, 11722166000, 1429418618, 1429418623, 1429418652, 10246163214, 1429418875, 10246163223, 1430552796, 1430552801, 6324548956, 10246163212, 1430552955, 11840580567, 1430552965, 1430552981, 1430552996, 1430553010, 11865970502, 11865970505, 11865970504, 1430553039, 11721812173, 4833880520, 1430553200, 1431040215, 1430553315, 1431040643, 1430553574, 1430553592, 1430553598, 1430553625, 1430553649, 1431135619, 1431135637, 1431135641, 1431072845, 1431072850, 1431072871, 1431072893, 1431135649, 1431219153, 1431220527, 11890933895, 1431072917, 1431072923, 1431072939, 1431072960, 1431072983, 10097303755, 1431998379]"
Sector 35 Market - Point 11,30.7233043872084,76.7708247932758,B,3369.384577207063,"[1428425984, 1428425968, 1428425952, 1428425901, 1428425898, 1428425891, 1428425884, 1429027953, 1429027929, 1429027870, 1429027724, 1429027710, 1429027701, 1429027672, 1429027629, 1429027575, 1429027308, 9184582831, 1429027212, 1429027155, 1429026900, 1429026886, 6329966014, 1429026772, 1429026748, 1429026732, 10199117045, 1428391535, 1428391179, 1429078305, 1429078120, 1428312569, 11840890109, 11840890105, 11840890096, 11840890106, 1428312453, 1429141644]"
Sector 17 Plaza - Point 12,30.7415736240925,76.7849792406101,B,2346.333799648446,"[1428425984, 1428425968, 1428425952, 1428425901, 1428425898, 1428425891, 1428425872, 1428425869, 1431041313, 1431041329, 1431041307, 1431041027, 1431040948, 1431040913, 9874345721, 1431041373, 1431041344, 1431039905, 1431040061, 11095269800]"
Sector 7 Market - Point 13,30.7432259179122,76.795463682588,A,3157.414802316293,"[1429417889, 1429417907, 1429417931, 1429417950, 1429417964, 1429417992, 1429418129, 1429418135, 1429418157, 1429418188, 1429418203, 1429418223, 1429418248, 11722166003, 11722166000, 1429418618, 1429418623, 11245169224, 1429418986, 1429419007, 1429419032, 1429419062, 1429419050, 1429419069, 4833880542, 1430553029, 4833812927, 1430553070, 1430553144, 1430553224, 1430553273, 1430553324, 10307985250, 1430553359, 1430553390, 1430553423, 10307985258, 10307985259]"
Sukhna Lake - Point 14,30.7432498969167,76.8226190437037,A,5667.725619036306,"[1429417889, 1429417907, 1429417931, 1429417950, 1429417964, 1429417992, 1429418129, 1429418135, 1429418157, 1429418188, 1429418203, 1429418223, 1429418248, 11722166003, 11722166000, 1429418618, 1429418623, 11245169224, 1429418986, 1429419007, 1429419032, 1429419062, 1429419050, 1429419069, 4833880542, 1430553029, 1429434800, 1429434811, 1430553121, 1429434927, 1429419107, 1429419171, 1429419216, 1430553482, 1430553495, 1430553552, 1430553621, 1430553670, 1691768502, 1430553776, 1430553778, 9631949081, 9631949093, 9631949105]"
