Algorithm,Location,Hub,OrderTime,WaitMinutes,TravelMinutes,TotalMinutes,VehicleID
Dijkstra,Rose Garden - Point 99,B,00:09,0.0,3.8218217833333332,7.6436435666666664,B-1
Dijkstra,Rock Garden - Point 90,A,00:11,0.0,8.305592083333334,16.611184166666668,A-1
Dijkstra,Sector 22 Market - Point 23,A,00:37,0.0,4.0122323,8.0244646,A-2
Dijkstra,Sector 22 Market - Point 82,A,00:56,0.0,3.1429516833333335,6.285903366666667,A-3
Dijkstra,Rose Garden - Point 45,B,01:17,0.0,4.3485114000000005,8.697022800000001,B-2
Dijkstra,Sector 35 Market - Point 39,D,01:22,0.0,5.214570866666667,10.429141733333333,D-1
Dijkstra,Ambedkar Awas Yojna Sector 56 Chandigarh,C,01:25,0.0,4.06769815,8.1353963,C-1
Dijkstra,Location_4,D,01:30,2.429141733333333,4.5312353666666665,11.491612466666668,D-1
Dijkstra,Location_2,C,01:34,-0.8646037,4.57159625,9.1431925,C-1
Dijkstra,Sector 22 Market - Point 38,B,01:38,-81.35635643333333,3.5979043,7.1958086,B-1
Dijkstra,Sector 35 Market - Point 65,A,01:39,-71.38881583333334,5.257105833333333,10.514211666666666,A-1
Dijkstra,Sector 17 Plaza - Point 63,B,01:53,-27.3029772,3.28481065,6.5696213,B-2
Dijkstra,Sector 40B Chandigarh 160036,C,02:07,-23.8568075,3.58572355,7.1714471,C-1
Dijkstra,Sukhna Lake - Point 43,A,02:09,-83.9755354,5.624156116666667,11.248312233333333,A-2
Dijkstra,Sector 17 Plaza - Point 89,B,02:28,-42.8041914,3.2537739333333335,6.507547866666667,B-1
Dijkstra,Punjab University - Point 85,B,02:28,-28.430378700000002,3.245177683333333,6.490355366666666,B-2
Dijkstra,Punjab University - Point 83,B,02:36,-1.5096446333333333,4.330436616666666,8.660873233333332,B-2
Dijkstra,Sector 22 Market - Point 2,B,03:01,-26.492452133333334,3.8584909166666668,7.7169818333333335,B-1
Dijkstra,Sector 7 Market - Point 41,A,03:17,-134.71409663333333,3.2708307666666667,6.5416615333333334,A-3
Dijkstra,Location_3,C,03:45,-90.8285529,4.930254649999999,9.860509299999999,C-1
Dijkstra,Sector 7 Market - Point 72,A,03:46,-116.48578833333333,4.26445405,8.5289081,A-1
Dijkstra,Sector 35 Market - Point 25,A,03:46,-85.75168776666666,5.099361316666667,10.198722633333334,A-2
Dijkstra,Sector 26 Food Court - Point 81,A,03:46,-22.458338466666664,4.735645366666666,9.471290733333332,A-3
Dijkstra,Punjab University - Point 10,B,03:51,-66.33912676666667,3.8010038833333337,7.602007766666667,B-2
Dijkstra,Sector 22 Market - Point 57,B,04:51,-102.28301816666666,3.5146744500000002,7.0293489000000005,B-1
Dijkstra,Sector 26 Food Court - Point 77,A,04:55,-60.471091900000005,4.749285599999999,9.498571199999999,A-1
Dijkstra,Sector 17 Plaza - Point 8,A,05:19,-83.52870926666667,3.6333993333333336,7.266798666666667,A-3
Dijkstra,Rock Garden - Point 53,A,05:36,-99.80127736666667,6.389417016666667,12.778834033333334,A-2
Dijkstra,Rock Garden - Point 76,A,05:42,-37.5014288,6.613238366666667,13.226476733333334,A-1
Dijkstra,Sector 17 Plaza - Point 88,B,05:44,-105.39799223333333,3.0740563,6.1481126,B-2
Dijkstra,Rock Garden - Point 36,A,05:55,-28.733201333333334,7.7321064,15.4642128,A-3
Dijkstra,Sector 17 Plaza - Point 12,B,06:08,-69.9706511,3.8584909166666668,7.7169818333333335,B-1
Dijkstra,Rock Garden - Point 86,B,06:13,-22.8518874,7.326737183333334,14.653474366666668,B-2
Dijkstra,Rose Garden - Point 80,B,06:17,-1.2830181666666667,3.97668425,7.9533685,B-1
Dijkstra,Punjab University - Point 28,B,06:37,-12.0466315,2.43094335,4.8618867,B-1
Dijkstra,Sector 26 Food Court - Point 3,A,06:56,-67.22116596666666,4.132706033333333,8.265412066666666,A-2
Dijkstra,Sukhna Lake - Point 14,A,07:32,-96.77352326666667,8.533234666666667,17.066469333333334,A-1
Dijkstra,Sukhna Lake - Point 95,A,07:34,-83.5357872,6.618906483333333,13.237812966666667,A-3
